Text;Size
partage;12
prires;12
tour;12
unecoupedordedixsiclespleinedeparfum;12
confiance;12
objet;12
consumés;12
btit;12
brla;12
couvre;12
adressée;12
bord;12
jenverrai;12
arrivée;12
lennemi;12
malheureux;11
barque;11
paens;11
périr;11
joug;11
sihon;11
enfant;11
gardes;11
sortira;11
vue;11
assemblée;11
allés;11
quà;11
bélier;11
devait;11
auparavant;11
demose;11
nas;11
mas;11
souffrances;11
apprirent;11
descendirent;11
ecclésiaste;11
ence;11
ismal;11
neme;11
victime;11
don;11
dan;11
servantes;11
cou;11
thessaloniciens;11
livrerai;11
vieillesse;11
diront;11
fonctions;11
habitent;11
entend;11
demanassé;11
centaines;11
jizreel;11
race;11
jardin;11
huitime;11
moment;11
permis;11
heure;11
aussitt;11
animal;11
quime;11
produit;11
vase;11
descendre;11
hébron;11
entré;11
josias;11
deviendra;11
pourmoi;11
laissemoi;11
pleine;11
chambre;11
damas;11
devient;11
oeuvre;11
voile;11
descendu;11
vivants;11
bases;11
oiseaux;11
talents;11
pauvres;11
lont;11
ouvrit;11
filet;11
delle;11
battirent;11
cité;11
bienaimé;11
silence;11
trop;11
éternelle;11
venez;11
armée;11
ramnerai;11
bonnes;11
lextrémité;11
satan;11
dévorera;11
intelligence;11
ruines;11
courut;11
defarinepétrieàlhuilepourloffrande;11
tenaient;11
bras;11
puisse;11
amour;11
derrire;11
salaire;11
retournrent;11
souillé;11
raison;11
fussent;11
témoin;11
vingtcinq;11
bergers;11
etpour;11
demanda;11
sachez;11
écoutez;11
reine;10
soldats;10
descendants;10
appelle;10
revinrent;10
cornes;10
sortis;10
agneaux;10
sert;10
tiennent;10
sara;10
sacs;10
priez;10
perpétuelle;10
nord;10
oui;10
dumilieu;10
autant;10
guibea;10
nes;10
lépoux;10
lve;10
peuvent;10
frappera;10
adressa;10
démons;10
chassa;10
secret;10
dos;10
ardente;10
àmon;10
prendront;10
rendrai;10
auquel;10
ilme;10
vrai;10
rend;10
louvrage;10
entier;10
corne;10
langues;10
rachat;10
celuici;10
connu;10
répandit;10
pourra;10
produits;10
vain;10
bethléhem;10
abner;10
présentrent;10
annoncé;10
delà;10
retour;10
oreilles;10
tamain;10
livrer;10
quelques;10
faveur;10
esprits;10
couvrit;10
tombe;10
dautre;10
etvoici;10
mangerez;10
premiersnés;10
crie;10
sorti;10
ceque;10
vases;10
tousceuxqui;10
fortes;10
pardessus;10
levé;10
nestil;10
lemonde;10
bataille;10
char;10
turent;10
neuvime;10
trésor;10
sélvera;10
crime;10
porté;10
juger;10
jourde;10
sodome;10
discours;10
envérité;10
dallégresse;10
voyage;10
chtiments;10
fumée;10
allait;10
donnés;10
laccomplissement;10
lesenfantsdisral;10
soixante;10
roboam;10
frappé;10
onze;10
ftes;10
parts;10
jeunesse;10
passa;10
troupe;10
coucher;10
sempara;10
montrent;10
os;10
or;10
remis;10
coupable;10
oeil;9
taillée;9
lapparence;9
soif;9
donction;9
auxquels;9
fleuves;9
descend;9
science;9
vienne;9
serment;9
jephthé;9
peine;9
prenant;9
proie;9
ordonna;9
sidon;9
sacerdoce;9
présenta;9
prononcée;9
ntes;9
égard;9
hesbon;9
sol;9
chants;9
autels;9
jeté;9
riche;9
azaria;9
souffle;9
etque;9
épée;9
causede;9
etde;9
estu;9
men;9
compassion;9
demander;9
egyptiens;9
habitait;9
raconta;9
travaux;9
rues;9
lettres;9
navons;9
