Text;Size
desayuno;11
verdadera;11
calor;11
número;11
fuente;11
piensas;11
nueva;11
interior;11
agujero;11
abertura;11
murmuró;11
regiones;11
túmulos;11
abierto;11
saltó;11
hermoso;11
acontecimientos;11
ocupado;11
sonrisa;11
alzaba;11
entrada;11
caminos;11
pequeños;11
saliendo;11
fuerza;11
fronteras;11
creía;11
final;11
cuesta;11
cantar;11
dolor;11
montaraces;11
orcos;11
veían;11
piso;11
raras;11
exterior;11
llamaba;11
nuevas;11
cricava;10
oía;10
habido;10
frontera;10
cinturón;10
quedado;10
movió;10
primeros;10
inclinándose;10
preocupado;10
mío;10
calzada;10
evitar;10
relámpago;10
encontraban;10
fríos;10
ocurrido;10
tomando;10
terror;10
botas;10
volveré;10
canciones;10
temor;10
pueblo;10
torres;10
descubrir;10
caminando;10
alegres;10
sabemos;10
clase;10
lejano;10
tinúviel;10
vuelva;10
boffin;10
bultos;10
gondor;10
numerosas;10
redonda;10
perdió;10
tales;10
senderos;10
quedarse;10
encuentro;10
tomaron;10
adentro;10
viven;10
estás;10
cañada;10
movimiento;10
sigue;10
huesos;10
madera;10
muerte;10
cayeron;10
mantas;10
continuaron;10
cuánto;10
resto;10
cambio;10
huellas;10
primer;10
crecía;10
entraron;10
descendieron;10
dieron;10
nuestros;10
cueva;10
lástima;10
torre;10
pantanos;10
relación;10
ciento;10
encontrado;10
abierta;10
encontraba;10
débil;10
esperando;10
jornada;10
alejó;10
sujeto;10
sitios;10
digo;10
llevado;10
supo;10
especie;10
entiendo;10
murmullo;10
movía;10
dificultades;10
tranquilo;10
veo;10
cañas;10
fredegar;10
manto;10
estuvieron;10
troncos;10
pipa;10
descansar;10
equipaje;10
roja;10
túmulo;9
bob;9
contó;9
vivo;9
decirlo;9
horas;9
noticia;9
llave;9
broma;9
ellas;9
claramente;9
pregunta;9
echando;9
caer;9
alba;9
lenta;9
bebida;9
elevaba;9
abría;9
corazones;9
antiguo;9
prueba;9
juego;9
primo;9
estuvo;9
fuegos;9
dueño;9
tronco;9
aventuras;9
cuentos;9
pan;9
abandonar;9
dama;9
ocurre;9
dado;9
coraje;9
daba;9
atravesaba;9
muros;9
sméagol;9
anterior;9
hoguera;9
otoño;9
límites;9
compañeros;9
despedida;9
cortinas;9
éste;9
distantes;9
alcance;9
gusta;9
quiera;9
desaparecer;9
terrible;9
habla;9
pausa;9
miraban;9
túneles;9
cocina;9
dragones;9
empezaron;9
hijo;9
marjala;9
incorporó;9
salón;9
inclinó;9
milla;9
hacían;9
despertó;9
memoria;9
iremos;9
llamaban;9
cien;9
empinada;9
sintieron;9
acercaba;9
siete;9
profundos;9
élfica;9
gritaron;9
recuerda;9
gilgalad;9
hombresauce;9
provisiones;9
crecían;9
ejemplo;9
quisiera;9
seis;9
criatura;9
entra;9
mediodía;9
lúthien;9
conocían;9
tendremos;9
quería;9
anoche;9
van;9
aldea;9
mala;9
escuchar;9
encontré;9
hambre;9
corre;9
dar;9
profundamente;9
tuve;9
haga;8
secas;8
bajaron;8
favor;8
dejaba;8
dulcemente;8
antiguas;8
gustaría;8
ganapié;8
llano;8
reapareció;8
hondonada;8
penetrante;8
alegremente;8
isla;8
recordar;8
esfuerzo;8
llegue;8
expresión;8
marchaban;8
villa;8
conocido;8
oídos;8
espesas;8
mismas;8
hoja;8
comer;8
túnel;8
marcharon;8
viviendo;8
vivía;8
elegido;8
ojo;8
terribles;8
esperado;8
carro;8
pensado;8
lejana;8
asombro;8
vuelve;8
moverse;8
reír;8
cualquiera;8
regresó;8
comenzaban;8
tono;8
desaparición;8
empuñadura;8
encuentran;8
habrá;8
quiere;8
propia;8
libre;8
recordaba;8
pusieron;8
beren;8
durmió;8
centro;8
importancia;8
alcanzaba;8
sentí;8
leve;8
observando;8
costado;8
ordenó;8
thain;8
padre;8
helado;8
septiembre;8
descubierto;8
hija;8
figuras;8
cabezas;8
llevaron;8
gracias;8
pensé;8
señora;8
espalda;8
peligros;8
completamente;8
invierno;8
error;8
segundo;8
sorpresa;8
triste;8
mares;8
césped;8
perdieron;8
fuese;8
ocasión;8
remotos;8
saltando;8
sabios;8
semana;8
señales;8
elendil;8
meriadoc;8
mente;8
queda;8
seto;8
conocía;8
amarillas;8
alcanzaron;8
odiaba;8
necesidad;8
ánimo;8
hubieran;8
elfo;8
ninguno;8
terronillo;8
umbral;8
veinte;8
espera;8
cuero;8
profundas;8
amplio;8
grupo;8
cuerpo;8
estuviera;8
única;8
dejando;8
cerraba;8
partió;8
probable;8
deslizó;8
hueso;8
sabían;8
ten;8
ted;8
guerra;7
vuestros;7
suave;7
tendrá;7
ponerse;7
cantidad;7
alguno;7
alimentos;7
espadas;7
pasillo;7
ruidos;7
llegada;7
elbereth;7
simple;7
tercera;7
llama;7
arrastró;7
alas;7
propias;7
perseguidores;7
espacio;7
aparecieron;7
cansado;7
cansados;7
accidente;7
instante;7
jefe;7
consigo;7
evidentemente;7
morir;7
trata;7
irme;7
crees;7
libros;7
nubladas;7
seguía;7
botes;7
almuerzo;7
levantaba;7
salida;7
venid;7
descanso;7
guardián;7
vela;7
drogo;7
advirtieron;7
cantaba;7
hablando;7
opuesto;7
andar;7
asombrado;7
dorada;7
repentino;7
toca;7
numerosos;7
sillas;7
despertad;7
verano;7
inquieto;7
arrastrándose;7
añadió;7
pluma;7
estribación;7
gritando;7
doce;7
quiso;7
últimas;7
viajes;7
arrojó;7
sacar;7
siguiendo;7
tendido;7
corrían;7
señores;7
caminaban;7
tirada;7
vaca;7
pensativo;7
costumbres;7
cuándo;7
comienzo;7
llamaron;7
probablemente;7
capaz;7
aplausos;7
partido;7
escrito;7
miradas;7
fresco;7
cucharas;7
calló;7
granja;7
socorro;7
segunda;7
baño;7
floresta;7
alzaban;7
firme;7
cepeda;7
vestíbulo;7
estrecho;7
avanzaban;7
bruscamente;7
aventura;7
asustado;7
smials;7
apagó;7
ayudar;7
flanco;7
temblando;7
salvo;7
heredero;7
alcanzaban;7
conoce;7
aparecido;7
espesa;7
cuarenta;7
echaron;7
juncos;7
interrumpió;7
significa;7
grave;7
sueños;7
terminó;7
relato;7
haremos;7
olvides;7
podrá;7
uso;7
curso;7
rapidez;7
resplandor;7
pequeñas;7
asomaban;7
buscarlo;7
vinieron;7
desierto;7
escarpada;7
nuevamente;7
orden;7
sala;7
llevar;7
eriador;6
ausencia;6
flotaban;6
natural;6
setas;6
horrible;6
llegaba;6
malas;6
trabajo;6
redondas;6
treinta;6
apacible;6
despertaron;6
depresión;6
partes;6
hablaron;6
corrieron;6
rocío;6
bocado;6
dura;6
resistencia;6
miembros;6
vacío;6
vacía;6
tumularios;6
perdón;6
repente;6
ambos;6
extensión;6
estribaciones;6
planta;6
abrirse;6
valles;6
molinero;6
otho;6
precipitó;6
azules;6
crece;6
irse;6
trajo;6
discurso;6
archet;6
ladrón;6
importa;6
iluminada;6
observaba;6
peso;6
tras;6
cimas;6
decidieron;6
noventa;6
maravilloso;6
tardó;6
bandeja;6
pastos;6
causa;6
tarea;6
observaron;6
parecer;6
volverá;6
invisible;6
leña;6
andaba;6
carreta;6
pisador;6
coro;6
rastro;6
sauces;6
recuerdos;6
tamaño;6
carne;6
ancha;6
recompensa;6
lleguemos;6
queridos;6
trataba;6
visible;6
pesar;6
terminar;6
amarilla;6
poderoso;6
regreso;6
galopaban;6
dando;6
alivio;6
rocas;6
escribir;6
vagabundos;6
anchos;6
oesternesse;6
elegir;6
respondieron;6
descendió;6
amanezca;6
saben;6
sabio;6
sombría;6
ataque;6
oriental;6
tesoros;6
sudeste;6
extendían;6
creciendo;6
esperanzas;6
isildur;6
clavaba;6
soplaba;6
esperaban;6
encuentra;6
suspiró;6
leyenda;6
sorprendido;6
minas;6
cejas;6
leer;6
viendo;6
viera;6
cantó;6
distante;6
directamente;6
vaya;6
conocer;6
once;6
conversación;6
relatos;6
falta;6
desaparecieron;6
inquietos;6
verlos;6
raíz;6
contaba;6
lobos;6
animales;6
armas;6
atajo;6
contar;6
bordes;6
zarzas;6
cubiertos;6
tantos;6
tibia;6
cielos;6
olor;6
papel;6
huida;6
pelosos;6
movían;6
oculto;6
situación;6
élfico;6
mantener;6
barro;6
sabido;6
desesperado;6
estanque;6
preocupes;6
dominaba;6
falda;6
encantamiento;6
voluntad;6
muro;6
deseaba;6
oportunidad;6
rumores;6
doblaba;6
ve;6
interés;6
levantaron;6
pesada;6
seco;6
recorrer;6
gato;6
gustaba;6
da;6
salud;6
habías;6
chaqueta;6
haciéndose;6
tradición;6
continuaba;6
lleva;6
entiende;6
espeso;6
amplia;6
pudieran;6
curiosidad;6
concilio;6
adónde;6
mirándolos;6
secretos;6
batalla;6
envuelto;6
constantemente;6
quiénes;6
cubiertas;6
encontramos;6
aliviado;6
doy;6
don;6
joyas;6
corta;6
dispuestos;6
silbando;6
comenzaba;6
fuentes;6
vueltas;6
tonto;6
llamado;6
anda;6
dormido;6
guardó;6
aragorn;6
vivieron;5
obtenido;5
mirándolo;5
cincuenta;5
tenga;5
desnudas;5
balsa;5
animados;5
subir;5
prestaron;5
principalmente;5
firmemente;5
extendió;5
cerco;5
perturbado;5
sabiduría;5
quedaba;5
vive;5
insinuaciones;5
intención;5
refiere;5
centelleaban;5
cerrar;5
empezar;5
primeras;5
posesión;5
maleza;5
darle;5
contigo;5
creí;5
botellas;5
lento;5
encontraremos;5
dudo;5
asperas;5
rostro;5
recibido;5
albos;5
cómodo;5
húmedo;5
trayendo;5
artificio;5
espesos;5
repisa;5
perdía;5
ciertas;5
trepar;5
arenas;5
lindes;5
estrella;5
blando;5
fila;5
trabajos;5
colgaba;5
puertos;5
encontrarlo;5
montaron;5
sentirse;5
moscas;5
pasaban;5
incorporándose;5
medias;5
mostraban;5
desciende;5
misión;5
vuestro;5
traían;5
diferentes;5
enigmas;5
notó;5
especial;5
imposible;5
molesto;5
bienvenida;5
brisa;5
brillo;5
quitó;5
alcalde;5
obtuvo;5
correr;5
codo;5
somos;5
espesura;5
veré;5
páramos;5
abundancia;5
completo;5
cenar;5
murió;5
hechos;5
volviendo;5
excelente;5
depende;5
cansancio;5
violín;5
preferían;5
volviéndose;5
pensaban;5
andan;5
sirvientes;5
enigma;5
autoridad;5
poesía;5
recibió;5
descubriendo;5
cálido;5
escribió;5
abrir;5
matado;5
haría;5
repentina;5
permiso;5
comían;5
quieto;5
gusto;5
hijos;5
manzana;5
cientos;5
fumaba;5
lenguas;5
vigor;5
animal;5
redondo;5
conocimiento;5
descendiendo;5
cubierto;5
mes;5
listo;5
momentos;5
descendían;5
punta;5
ansiosamente;5
sintiendo;5
útil;5
apretaban;5
visión;5
merece;5
comúnmente;5
próximo;5
estudio;5
sonidos;5
montículos;5
necesito;5
necesita;5
declinaba;5
tendrías;5
precio;5
tendrían;5
continúa;5
sospechas;5
envolvía;5
centésimo;5
semanas;5
creciente;5
aviso;5
cargado;5
inútil;5
haberse;5
mesas;5
casualidad;5
desayunar;5
podamos;5
beber;5
abuela;5
haberlo;5
notable;5
corneta;5
occidentales;5
entendió;5
jarros;5
alcanzar;5
canta;5
padres;5
estarán;5
confianza;5
llanura;5
recordó;5
escucha;5
breve;5
linterna;5
hermosas;5
signo;5
alejaron;5
confiar;5
original;5
cuevas;5
prepararon;5
lavado;5
causado;5
gustan;5
fueran;5
capas;5
minuto;5
vapor;5
cambió;5
temiendo;5
derry;5
fortuna;5
internándose;5
avanzaron;5
inmóvil;5
cuchillo;5
misericordia;5
abetos;5
salvaje;5
altura;5
arrastrado;5
abruptamente;5
calma;5
marca;5
oculta;5
cuál;5
acercándose;5
entibo;5
dúnedain;5
tipo;5
amistad;5
evitando;5
buscando;5
tomado;5
ruinas;5
caminaba;5
alzaron;5
deseó;5
bajaba;5
rápida;5
doblaron;5
quietos;5
acostado;5
amables;5
curioso;5
sintiéndose;5
límite;5
arbustos;5
pidió;5
seca;5
placer;5
huyó;5
canasta;5
delgado;5
ho;5
compañero;5
tendrás;5
escapado;5
platos;5
cc;5
cronología;5
gana;5
observó;5
ay;5
rama;5
diga;5
cresta;5
grietas;5
pudieron;5
descansaron;5
temían;5
cambiaba;5
marcas;5
trataban;5
cruzaron;5
barba;5
hacerse;5
metros;5
posibilidad;5
obstante;5
hacerlo;5
tranquila;5
generalmente;5
daban;5
eco;5
traía;5
búsqueda;5
susurro;5
interesa;5
nuevos;5
hueco;5
hombros;5
trecho;5
apoyó;5
papeles;5
recordaban;5
mágicos;5
entiendes;5
imaginar;5
penetrantes;5
sonorona;5
corto;5
dispuesto;5
perdían;5
terrenos;5
alzando;5
relaciones;5
riendas;5
rojas;5
maldad;5
leguas;5
corno;5
útiles;4
verse;4
información;4
guardaba;4
setos;4
arroyos;4
blancanieves;4
montón;4
tijeras;4
estruendo;4
pobres;4
tenue;4
dormidos;4
fardos;4
persecución;4
arrastraron;4
explicación;4
silencioso;4
suficiente;4
preguntaba;4
animado;4
pasadas;4
llegara;4
amenaza;4
entendían;4
precipitaron;4
tratar;4
oían;4
murmuraban;4
cabalgando;4
distintas;4
detenía;4
limpia;4
duro;4
súbito;4
cabellera;4
cumplir;4
pabellón;4
ala;4
tumulario;4
postigos;4
débilmente;4
cinta;4
red;4
agudo;4
estalló;4
copia;4
desvanecía;4
averiguar;4
húmeda;4
ansiedad;4
pensamiento;4
prolongado;4
abiertos;4
abundante;4
responder;4
comentarios;4
bajos;4
maldito;4
recordando;4
recogió;4
ciñatiesa;4
rieron;4
tengan;4
terminaron;4
linternas;4
épocas;4
cruzó;4
recoger;4
petardos;4
puedan;4
puedas;4
hongos;4
encontrarse;4
sombrías;4
aparece;4
